encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
optim,dropout,0.0,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,dropout,0.25,0.312,0.24999999999999373,0.0021000259925921367,0.462
optim,dropout,0.5,0.293,0.07499999999999812,0.0008500280340512517,0.449
optim,dropout,0.75,0.301,0.0999999999999975,0.0008500288436810103,0.455
optim,dropout,1.0,0.259,0.0999999999999975,0.001300024996697883,0.432
optim,occlusion,0.0,0.3,0.49999999999998745,0.00375002518792939,0.459
optim,occlusion,0.25,0.309,0.49999999999998745,0.0029000263527035122,0.452
optim,occlusion,0.5,0.292,0.49999999999998745,0.0031750252549846295,0.453
optim,occlusion,0.75,0.284,0.49999999999998745,0.002475026583671521,0.446
optim,occlusion,1.0,0.274,0.49999999999998745,0.0021500245595971333,0.427
