encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
sparse,noise,0.75,0.21433333333333332,2.2600094479529683e-07,2.6308827943754103e-08,0.41833333333333333
sparse,noise,1.0,0.15466666666666667,2.2600094479529683e-07,2.6679701288727087e-08,0.411
sparse,blur,0.0,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,blur,0.25,0.7733333333333333,2.2600094479529683e-07,2.6746756513983906e-08,0.408
sparse,blur,0.5,0.773,2.880891164321895e-07,2.7450422459510424e-08,0.41633333333333333
sparse,blur,0.75,0.7696666666666667,2.2600094479529683e-07,2.7020772311672104e-08,0.41333333333333333
sparse,blur,1.0,0.7693333333333333,2.2600094479529683e-07,2.5445388436573326e-08,0.4106666666666667
sparse,dropout,0.0,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,dropout,0.25,0.7666666666666667,2.2600094479529683e-07,2.5606817682767567e-08,0.409
sparse,dropout,0.5,0.7463333333333333,2.2600094479529683e-07,2.6544762995789258e-08,0.41333333333333333
sparse,dropout,0.75,0.7073333333333334,2.2600094479529683e-07,2.8560558968698796e-08,0.425
sparse,dropout,1.0,0.6316666666666667,2.2600094479529683e-07,2.735853196522877e-08,0.4093333333333333
sparse,occlusion,0.0,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,occlusion,0.25,0.7626666666666667,2.2600094479529683e-07,2.6367604746002647e-08,0.412
sparse,occlusion,0.5,0.631,2.2600094479529683e-07,2.504802413772714e-08,0.40066666666666667
sparse,occlusion,0.75,0.38466666666666666,2.2600094479529683e-07,2.742641503321817e-08,0.41833333333333333
sparse,occlusion,1.0,0.14333333333333334,2.2600094479529683e-07,2.679642705079999e-08,0.39466666666666667
temporal,clean,0.0,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,clean,0.25,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,clean,0.5,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,clean,0.75,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,clean,1.0,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,noise,0.0,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
temporal,noise,0.25,0.777,2.2600094479529683e-07,2.631710636614559e-08,0.405
